Key genes,Ensembl
g0s2,ENSSSAG00000042105
rbp7,ENSSSAG00000042282
gldn,ENSSSAG00000065917
mag,ENSSSAG00000068045
ltk,ENSSSAG00000056489
fhl2,ENSSSAG00000054289
mitf,ENSSSAG00000077659
slc24a5,ENSSSAG00000117875
pax7,ENSSSAG00000071786
flt4,ENSSSAG00000040805
prox1,ENSSSAG00000039610
cdh5,ENSSSAG00000062927
mecom,ENSSSAG00000048049
hbae1,ENSSSAG00000093862
hbae4,ENSSSAG00000046009
ifit9,ENSSSAG00000068365
lamc2,ENSSSAG00000079455
itgb4,ENSSSAG00000076769
krt5,ENSSSAG00000120869
krt4,ENSSSAG00000067586
evpla,ENSSSAG00000042629
grhl3,ENSSSAG00000000682
vav2,ENSSSAG00000009589
ebf1,ENSSSAG00000079780
ctsl,ENSSSAG00000002302
jak3,ENSSSAG00000043023
csf3r,ENSSSAG00000072535
flt3,ENSSSAG00000009390
blnk,ENSSSAG00000023874
znf366,ENSSSAG00000065953
sat1,ENSSSAG00000000816
csf1r,ENSSSAG00000047020
spp1,ENSSSAG00000100947
acp5,ENSSSAG00000084718
serpine1,ENSSSAG00000044246
mmp2,ENSSSAG00000047363
lum,ENSSSAG00000020269
scx,ENSSSAG00000095221
tnmd,ENSSSAG00000085827
mkx,ENSSSAG00000050783
pdgfrb,ENSSSAG00000003963
rgs5,ENSSSAG00000010277
abcc9,ENSSSAG00000085701
notch3,ENSSSAG00000042839
pdgfra,ENSSSAG00000002530
wnt7b,ENSSSAG00000086070
osr2,ENSSSAG00000016182
cd34,ENSSSAG00000073342
hic1,ENSSSAG00000108961
osr1,ENSSSAG00000096301
abi3bp,ENSSSAG00000007713
pax7,ENSSSAG00000006052
myh5,ENSSSAG00000059922
myod1,ENSSSAG00000080596
mymk,ENSSSAG00000080130
myog,ENSSSAG00000086669
myom1,ENSSSAG00000076408
smyhc1 (myh6),ENSSSAG00000120197
myom2,ENSSSAG00000103289
frem3,ENSSSAG00000089087
nup210,ENSSSAG00000009711
rpl8,ENSSSAG00000073156
rps25,ENSSSAG00000065665
entpd5,ENSSSAG00000005188
sp7,ENSSSAG00000005832
col10a1,ENSSSAG00000004398
fam20c,ENSSSAG00000002536
kit,ENSSSAG00000066926
g6fl,ENSSSAG00000072097
mpl,ENSSSAG00000079193
alk,ENSSSAG00000009062
aldh1a3,ENSSSAG00000004383
pou2f3,ENSSSAG00000039114
avil,ENSSSAG00000084911
irag2,ENSSSAG00000040022
sema3d,ENSSSAG00000078958
krt15,ENSSSAG00000048424
clu,ENSSSAG00000069374
slit1,ENSSSAG00000075660
aspn,ENSSSAG00000101220
rspo1,ENSSSAG00000029819
cygb2,ENSSSAG00000044124
notum2,ENSSSAG00000008397
mstnb,ENSSSAG00000049265
ism2b,ENSSSAG00000096185
syt6,ENSSSAG00000077131
rspo3,ENSSSAG00000069316
